District,City,Grid Station,Village,Distance (km)
Trichy,Madurai,Station A,Village 4773,28
Coimbatore,Tirunelveli,Station B,Village 1979,11
Erode,Trichy,Station C,Village 6912,8
Vellore,Chennai,Station C,Village 8251,34
Tiruppur,Madurai,Station E,Village 6731,14
Madurai,Tirunelveli,Station E,Village 9905,39
Salem,Salem,Station A,Village 2118,16
Tirunelveli,Madurai,Station E,Village 553,41
Vellore,Tirunelveli,Station A,Village 5238,42
Tiruppur,Chennai,Station A,Village 7245,9
Tirunelveli,Coimbatore,Station B,Village 7847,13
Coimbatore,Madurai,Station E,Village 3061,9
Chennai,Madurai,Station C,Village 9626,34
Tirunelveli,Trichy,Station A,Village 6855,27
Trichy,Chennai,Station D,Village 2118,46
Tirunelveli,Trichy,Station B,Village 9450,36
Erode,Tiruppur,Station A,Village 7498,31
Coimbatore,Tiruppur,Station A,Village 9752,27
Vellore,Vellore,Station B,Village 9542,12
Thanjavur,Madurai,Station E,Village 5238,24
Vellore,Trichy,Station D,Village 3406,44
Chennai,Tirunelveli,Station C,Village 3676,10
Tirunelveli,Tirunelveli,Station B,Village 3325,17
Salem,Thanjavur,Station A,Village 6366,50
Thanjavur,Coimbatore,Station E,Village 2179,19
Erode,Salem,Station C,Village 3475,40
Thanjavur,Chennai,Station B,Village 8662,14
Tirunelveli,Tiruppur,Station D,Village 8772,48
Tirunelveli,Erode,Station C,Village 1937,12
Salem,Coimbatore,Station C,Village 3232,6
Trichy,Vellore,Station C,Village 9244,33
Vellore,Coimbatore,Station E,Village 3295,22
Tiruppur,Coimbatore,Station A,Village 3437,46
Tiruppur,Chennai,Station A,Village 572,34
Thanjavur,Tirunelveli,Station C,Village 4379,26
Erode,Chennai,Station C,Village 3339,38
Chennai,Trichy,Station C,Village 3598,26
Tiruppur,Coimbatore,Station B,Village 9701,27
Coimbatore,Tirunelveli,Station E,Village 590,37
Erode,Trichy,Station A,Village 9042,25
Thanjavur,Chennai,Station C,Village 3135,49
Vellore,Vellore,Station E,Village 4652,9
Vellore,Madurai,Station C,Village 2186,30
Erode,Tirunelveli,Station B,Village 2397,17
Chennai,Erode,Station E,Village 4639,8
Thanjavur,Tiruppur,Station B,Village 9577,39
Chennai,Tirunelveli,Station A,Village 3970,47
Thanjavur,Trichy,Station E,Village 2560,28
Tirunelveli,Vellore,Station E,Village 5767,47
Tirunelveli,Coimbatore,Station C,Village 7427,37
Tiruppur,Tiruppur,Station E,Village 9311,37
Erode,Trichy,Station E,Village 2872,38
Tiruppur,Salem,Station A,Village 6116,36
Coimbatore,Madurai,Station B,Village 4699,38
Coimbatore,Coimbatore,Station E,Village 4808,23
Chennai,Tiruppur,Station A,Village 2893,47
Trichy,Erode,Station E,Village 5728,6
Thanjavur,Coimbatore,Station A,Village 9050,27
Coimbatore,Vellore,Station D,Village 6471,39
Trichy,Chennai,Station D,Village 9828,16
Salem,Salem,Station D,Village 795,21
Thanjavur,Salem,Station E,Village 8192,20
Salem,Tirunelveli,Station B,Village 8616,19
Tirunelveli,Vellore,Station A,Village 3359,9
Tirunelveli,Erode,Station B,Village 350,12
Chennai,Vellore,Station B,Village 6770,45
Thanjavur,Coimbatore,Station A,Village 8698,25
Thanjavur,Trichy,Station A,Village 1466,21
Vellore,Tirunelveli,Station B,Village 5209,5
Madurai,Tiruppur,Station D,Village 4575,26
Thanjavur,Vellore,Station A,Village 1921,31
Chennai,Coimbatore,Station C,Village 3201,37
Erode,Erode,Station E,Village 9236,11
Vellore,Thanjavur,Station C,Village 1347,31
Madurai,Thanjavur,Station B,Village 3932,21
Madurai,Tiruppur,Station D,Village 2996,31
Coimbatore,Vellore,Station B,Village 3139,30
Tirunelveli,Coimbatore,Station C,Village 4859,28
Madurai,Coimbatore,Station A,Village 615,28
Vellore,Coimbatore,Station B,Village 202,16
Tiruppur,Madurai,Station E,Village 2742,8
Tirunelveli,Madurai,Station B,Village 2959,39
Vellore,Trichy,Station E,Village 3434,45
Chennai,Salem,Station D,Village 9347,11
Erode,Tiruppur,Station B,Village 4122,45
Erode,Trichy,Station C,Village 1564,24
Coimbatore,Trichy,Station A,Village 2491,15
Vellore,Erode,Station C,Village 7027,22
Trichy,Tirunelveli,Station A,Village 6569,42
Madurai,Coimbatore,Station C,Village 8665,10
